"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell103"	"Cell103"	"Batch2"	"Group2"	54889.4582790787
"Cell104"	"Cell104"	"Batch2"	"Group2"	47916.9241401848
"Cell105"	"Cell105"	"Batch2"	"Group1"	67603.9166509162
"Cell106"	"Cell106"	"Batch2"	"Group1"	63265.2442745165
"Cell107"	"Cell107"	"Batch2"	"Group1"	75468.4082491326
"Cell108"	"Cell108"	"Batch2"	"Group1"	42766.2204488106
"Cell109"	"Cell109"	"Batch2"	"Group2"	60928.9565544397
"Cell110"	"Cell110"	"Batch2"	"Group2"	78485.7515821767
"Cell111"	"Cell111"	"Batch2"	"Group2"	69205.4406162029
"Cell112"	"Cell112"	"Batch2"	"Group1"	50690.2789671385
"Cell113"	"Cell113"	"Batch2"	"Group1"	69321.1752282556
"Cell114"	"Cell114"	"Batch2"	"Group2"	50292.6703107013
"Cell115"	"Cell115"	"Batch2"	"Group2"	54683.6749976666
"Cell116"	"Cell116"	"Batch2"	"Group2"	75925.4225854419
"Cell117"	"Cell117"	"Batch2"	"Group2"	56498.5886762982
"Cell118"	"Cell118"	"Batch2"	"Group2"	70665.2508040155
"Cell119"	"Cell119"	"Batch2"	"Group2"	56486.3592196044
"Cell120"	"Cell120"	"Batch2"	"Group1"	43683.5779155588
"Cell121"	"Cell121"	"Batch2"	"Group2"	50525.6729135284
"Cell122"	"Cell122"	"Batch2"	"Group2"	48160.5754010987
"Cell123"	"Cell123"	"Batch2"	"Group2"	54346.8474233351
"Cell124"	"Cell124"	"Batch2"	"Group2"	55979.3279713351
"Cell125"	"Cell125"	"Batch2"	"Group1"	58065.5847283995
"Cell126"	"Cell126"	"Batch2"	"Group2"	57031.0168616328
"Cell127"	"Cell127"	"Batch2"	"Group1"	87416.5941746416
"Cell128"	"Cell128"	"Batch2"	"Group1"	45378.800813453
"Cell129"	"Cell129"	"Batch2"	"Group2"	55107.1714405832
"Cell130"	"Cell130"	"Batch2"	"Group1"	64203.7118908629
"Cell131"	"Cell131"	"Batch2"	"Group1"	82924.717172151
"Cell132"	"Cell132"	"Batch2"	"Group2"	60943.6154704339
"Cell133"	"Cell133"	"Batch2"	"Group2"	76713.2820866017
"Cell134"	"Cell134"	"Batch2"	"Group1"	43091.8383551086
"Cell135"	"Cell135"	"Batch2"	"Group1"	79959.1617406443
"Cell136"	"Cell136"	"Batch2"	"Group2"	52150.4435500503
"Cell137"	"Cell137"	"Batch2"	"Group1"	56653.7682823918
"Cell138"	"Cell138"	"Batch2"	"Group2"	47959.6949215909
"Cell139"	"Cell139"	"Batch2"	"Group1"	61498.8566943412
"Cell140"	"Cell140"	"Batch2"	"Group2"	85568.0983933901
"Cell141"	"Cell141"	"Batch2"	"Group2"	97190.9297777141
"Cell142"	"Cell142"	"Batch2"	"Group2"	48273.3158246765
"Cell143"	"Cell143"	"Batch2"	"Group2"	65985.362894063
"Cell144"	"Cell144"	"Batch2"	"Group1"	79039.6060124367
"Cell145"	"Cell145"	"Batch2"	"Group1"	57576.4343178716
"Cell146"	"Cell146"	"Batch2"	"Group1"	57317.716331667
"Cell147"	"Cell147"	"Batch2"	"Group2"	56333.4856506259
"Cell148"	"Cell148"	"Batch2"	"Group1"	67478.6509642826
"Cell149"	"Cell149"	"Batch2"	"Group2"	79180.5432956739
"Cell150"	"Cell150"	"Batch2"	"Group2"	68701.3378794067
"Cell151"	"Cell151"	"Batch2"	"Group1"	63833.767652002
"Cell152"	"Cell152"	"Batch2"	"Group2"	56366.2590596918
"Cell153"	"Cell153"	"Batch2"	"Group1"	66149.3098982552
"Cell154"	"Cell154"	"Batch2"	"Group2"	53642.2678946301
"Cell155"	"Cell155"	"Batch2"	"Group2"	56621.7632086027
"Cell156"	"Cell156"	"Batch2"	"Group1"	74555.7680395455
"Cell157"	"Cell157"	"Batch2"	"Group2"	65408.1807560714
"Cell158"	"Cell158"	"Batch2"	"Group2"	62830.9621488059
"Cell159"	"Cell159"	"Batch2"	"Group2"	56890.2054406403
"Cell160"	"Cell160"	"Batch2"	"Group2"	72128.6479213431
"Cell161"	"Cell161"	"Batch2"	"Group1"	78196.6836506831
"Cell162"	"Cell162"	"Batch2"	"Group2"	50319.3838781736
"Cell163"	"Cell163"	"Batch2"	"Group2"	60542.2889612223
"Cell164"	"Cell164"	"Batch2"	"Group2"	60464.6020460149
"Cell165"	"Cell165"	"Batch2"	"Group2"	53333.9759388029
"Cell166"	"Cell166"	"Batch2"	"Group2"	49033.1691150606
"Cell167"	"Cell167"	"Batch2"	"Group2"	59845.0166782777
"Cell168"	"Cell168"	"Batch2"	"Group2"	68261.580517293
"Cell169"	"Cell169"	"Batch2"	"Group2"	80448.1740772224
"Cell170"	"Cell170"	"Batch2"	"Group2"	40870.7301811897
"Cell171"	"Cell171"	"Batch2"	"Group1"	52026.6884506858
"Cell172"	"Cell172"	"Batch2"	"Group2"	56258.5864489013
"Cell173"	"Cell173"	"Batch2"	"Group2"	42931.8216722241
"Cell174"	"Cell174"	"Batch2"	"Group2"	51528.6535551433
"Cell175"	"Cell175"	"Batch2"	"Group2"	51253.0110855575
"Cell176"	"Cell176"	"Batch2"	"Group2"	51817.6477317487
"Cell177"	"Cell177"	"Batch2"	"Group1"	38647.3342528259
"Cell178"	"Cell178"	"Batch2"	"Group2"	62485.1189176553
"Cell179"	"Cell179"	"Batch2"	"Group1"	52765.6353811629
"Cell180"	"Cell180"	"Batch2"	"Group1"	81153.5435589585
"Cell181"	"Cell181"	"Batch2"	"Group1"	70206.1497801678
"Cell182"	"Cell182"	"Batch2"	"Group1"	44770.0239850159
"Cell183"	"Cell183"	"Batch2"	"Group2"	61064.0800380332
"Cell184"	"Cell184"	"Batch2"	"Group2"	53169.7977765301
"Cell185"	"Cell185"	"Batch2"	"Group1"	71514.5520913653
"Cell186"	"Cell186"	"Batch2"	"Group1"	60513.0354685127
"Cell187"	"Cell187"	"Batch2"	"Group1"	53562.0072000001
"Cell188"	"Cell188"	"Batch2"	"Group1"	65360.8939806289
"Cell189"	"Cell189"	"Batch2"	"Group2"	61729.7726081204
"Cell190"	"Cell190"	"Batch2"	"Group2"	57934.9717404103
"Cell191"	"Cell191"	"Batch2"	"Group2"	89677.7639960039
"Cell192"	"Cell192"	"Batch2"	"Group1"	53858.8935315053
"Cell193"	"Cell193"	"Batch2"	"Group2"	54493.821399233
"Cell194"	"Cell194"	"Batch2"	"Group2"	43950.2070965434
"Cell195"	"Cell195"	"Batch2"	"Group2"	59390.802621545
"Cell196"	"Cell196"	"Batch2"	"Group2"	71544.2387475998
"Cell197"	"Cell197"	"Batch2"	"Group2"	39565.8807967683
"Cell198"	"Cell198"	"Batch2"	"Group2"	56953.3036007336
"Cell199"	"Cell199"	"Batch2"	"Group1"	47271.8336805595
"Cell200"	"Cell200"	"Batch2"	"Group1"	79888.5208924679
"Cell201"	"Cell201"	"Batch2"	"Group1"	78556.9491617982
"Cell202"	"Cell202"	"Batch2"	"Group2"	64016.7834563593
"Cell203"	"Cell203"	"Batch2"	"Group1"	79687.468264074
"Cell204"	"Cell204"	"Batch2"	"Group2"	50339.0516604665
"Cell205"	"Cell205"	"Batch2"	"Group2"	72412.2197344419
"Cell206"	"Cell206"	"Batch2"	"Group2"	53263.0273261374
"Cell207"	"Cell207"	"Batch2"	"Group1"	63843.59252991
"Cell208"	"Cell208"	"Batch2"	"Group2"	56394.1549606985
"Cell209"	"Cell209"	"Batch2"	"Group2"	56629.8428085633
"Cell210"	"Cell210"	"Batch2"	"Group2"	66784.2819485503
"Cell211"	"Cell211"	"Batch2"	"Group2"	46130.783880795
"Cell212"	"Cell212"	"Batch2"	"Group2"	56943.6298220132
"Cell213"	"Cell213"	"Batch2"	"Group2"	61957.3469427858
"Cell214"	"Cell214"	"Batch2"	"Group2"	55232.4821668268
"Cell215"	"Cell215"	"Batch2"	"Group2"	61140.6293002813
"Cell216"	"Cell216"	"Batch2"	"Group1"	56174.8171843589
"Cell217"	"Cell217"	"Batch2"	"Group2"	82757.405954707
"Cell218"	"Cell218"	"Batch2"	"Group2"	69067.3725038673
"Cell219"	"Cell219"	"Batch2"	"Group2"	108355.533250964
"Cell220"	"Cell220"	"Batch2"	"Group1"	51071.632195013
"Cell221"	"Cell221"	"Batch2"	"Group2"	70465.1248154958
"Cell222"	"Cell222"	"Batch2"	"Group2"	91090.2599973938
"Cell223"	"Cell223"	"Batch2"	"Group2"	63589.0147930766
"Cell224"	"Cell224"	"Batch2"	"Group1"	48213.0481366052
"Cell225"	"Cell225"	"Batch2"	"Group2"	48958.8534903298
"Cell226"	"Cell226"	"Batch2"	"Group1"	59451.5567125404
"Cell227"	"Cell227"	"Batch2"	"Group2"	77794.4112046731
"Cell228"	"Cell228"	"Batch2"	"Group2"	69569.4001986846
"Cell229"	"Cell229"	"Batch2"	"Group2"	39039.3868406422
"Cell230"	"Cell230"	"Batch2"	"Group2"	52048.3918975962
"Cell231"	"Cell231"	"Batch2"	"Group2"	59765.7901361345
"Cell232"	"Cell232"	"Batch2"	"Group2"	44728.8194175134
"Cell233"	"Cell233"	"Batch2"	"Group2"	68796.3471869479
"Cell234"	"Cell234"	"Batch2"	"Group2"	36597.4156032297
"Cell235"	"Cell235"	"Batch2"	"Group1"	61614.8352685662
"Cell236"	"Cell236"	"Batch2"	"Group1"	55367.9162644285
"Cell237"	"Cell237"	"Batch2"	"Group2"	54272.1879836419
"Cell238"	"Cell238"	"Batch2"	"Group1"	56572.0603832426
"Cell239"	"Cell239"	"Batch2"	"Group2"	63764.9509953773
"Cell240"	"Cell240"	"Batch2"	"Group2"	64813.2486286175
"Cell241"	"Cell241"	"Batch2"	"Group2"	57232.6178968342
"Cell242"	"Cell242"	"Batch2"	"Group2"	40741.8017317552
"Cell243"	"Cell243"	"Batch2"	"Group2"	44898.2519246056
"Cell244"	"Cell244"	"Batch2"	"Group2"	44625.844586257
"Cell245"	"Cell245"	"Batch2"	"Group2"	69729.0774198623
"Cell246"	"Cell246"	"Batch2"	"Group2"	57026.8223469994
"Cell247"	"Cell247"	"Batch2"	"Group2"	63192.1473411254
"Cell248"	"Cell248"	"Batch2"	"Group2"	43836.1674198911
"Cell249"	"Cell249"	"Batch2"	"Group2"	53792.1270811893
"Cell250"	"Cell250"	"Batch2"	"Group1"	67002.8473100265
"Cell251"	"Cell251"	"Batch2"	"Group2"	57776.3484942572
"Cell252"	"Cell252"	"Batch2"	"Group2"	58511.1610826255
"Cell253"	"Cell253"	"Batch2"	"Group2"	59017.40654595
"Cell254"	"Cell254"	"Batch2"	"Group2"	76281.2129891008
"Cell255"	"Cell255"	"Batch2"	"Group2"	52945.6195647182
"Cell256"	"Cell256"	"Batch2"	"Group1"	68543.5981863464
"Cell257"	"Cell257"	"Batch2"	"Group2"	71662.2881581428
"Cell258"	"Cell258"	"Batch2"	"Group2"	47199.3980963233
"Cell259"	"Cell259"	"Batch2"	"Group2"	61343.9462699446
"Cell260"	"Cell260"	"Batch2"	"Group2"	59739.914631829
"Cell261"	"Cell261"	"Batch2"	"Group1"	73557.9010059764
"Cell262"	"Cell262"	"Batch2"	"Group2"	71894.4948158902
"Cell263"	"Cell263"	"Batch2"	"Group2"	59844.7355668709
"Cell264"	"Cell264"	"Batch2"	"Group1"	61525.1867424085
"Cell265"	"Cell265"	"Batch2"	"Group2"	51842.6936756148
"Cell266"	"Cell266"	"Batch2"	"Group2"	57548.0272105903
"Cell267"	"Cell267"	"Batch2"	"Group1"	48735.2681416353
"Cell268"	"Cell268"	"Batch2"	"Group2"	49345.8437190452
"Cell269"	"Cell269"	"Batch2"	"Group1"	46903.0217603086
"Cell270"	"Cell270"	"Batch2"	"Group1"	70773.6150040493
"Cell271"	"Cell271"	"Batch2"	"Group2"	74831.5120770015
"Cell272"	"Cell272"	"Batch2"	"Group1"	55127.8895444116
"Cell273"	"Cell273"	"Batch2"	"Group2"	47772.4561106174
"Cell274"	"Cell274"	"Batch2"	"Group2"	58830.3839132482
"Cell275"	"Cell275"	"Batch2"	"Group1"	93749.418267105
"Cell276"	"Cell276"	"Batch2"	"Group2"	90062.8135448736
"Cell277"	"Cell277"	"Batch2"	"Group2"	42448.2061397971
"Cell278"	"Cell278"	"Batch2"	"Group2"	55749.218359993
"Cell279"	"Cell279"	"Batch2"	"Group2"	81361.3886407374
"Cell280"	"Cell280"	"Batch2"	"Group2"	59417.9222176461
"Cell281"	"Cell281"	"Batch2"	"Group2"	82411.6960735876
"Cell282"	"Cell282"	"Batch2"	"Group2"	56009.8541576633
"Cell283"	"Cell283"	"Batch2"	"Group2"	67575.2577071081
"Cell284"	"Cell284"	"Batch2"	"Group1"	62620.5168030923
"Cell285"	"Cell285"	"Batch2"	"Group2"	114212.256931975
"Cell286"	"Cell286"	"Batch2"	"Group2"	71976.180246667
"Cell287"	"Cell287"	"Batch2"	"Group2"	47037.1120012631
"Cell288"	"Cell288"	"Batch2"	"Group2"	53062.3951015714
"Cell289"	"Cell289"	"Batch2"	"Group2"	64475.9172391489
"Cell290"	"Cell290"	"Batch2"	"Group2"	40937.421329928
"Cell291"	"Cell291"	"Batch2"	"Group1"	41735.9443369477
"Cell292"	"Cell292"	"Batch2"	"Group1"	47840.8654384245
"Cell293"	"Cell293"	"Batch2"	"Group2"	55849.4009667701
"Cell294"	"Cell294"	"Batch2"	"Group2"	76709.4686142615
"Cell295"	"Cell295"	"Batch2"	"Group2"	56679.0814074326
"Cell296"	"Cell296"	"Batch2"	"Group2"	61850.5421356246
"Cell297"	"Cell297"	"Batch2"	"Group1"	59105.4619585008
"Cell298"	"Cell298"	"Batch2"	"Group2"	51997.5863736502
"Cell299"	"Cell299"	"Batch2"	"Group2"	78624.5643988505
"Cell300"	"Cell300"	"Batch2"	"Group2"	48083.6442739216
"Cell301"	"Cell301"	"Batch2"	"Group2"	57200.2356028655
"Cell302"	"Cell302"	"Batch2"	"Group2"	55850.535010969
"Cell303"	"Cell303"	"Batch2"	"Group2"	66597.7268058281
"Cell304"	"Cell304"	"Batch2"	"Group2"	82573.7334903202
"Cell305"	"Cell305"	"Batch2"	"Group1"	66354.2376087847
"Cell306"	"Cell306"	"Batch2"	"Group1"	78942.4695105763
"Cell307"	"Cell307"	"Batch2"	"Group2"	69746.2831233763
"Cell308"	"Cell308"	"Batch2"	"Group2"	52843.1352189758
"Cell309"	"Cell309"	"Batch2"	"Group2"	60858.6207232257
"Cell310"	"Cell310"	"Batch2"	"Group2"	78843.1584730018
"Cell311"	"Cell311"	"Batch2"	"Group2"	43815.6720956484
"Cell312"	"Cell312"	"Batch2"	"Group1"	63892.2999870036
"Cell313"	"Cell313"	"Batch2"	"Group2"	58025.7372394012
"Cell314"	"Cell314"	"Batch2"	"Group2"	71364.5675353338
"Cell315"	"Cell315"	"Batch2"	"Group2"	69566.1456587336
"Cell316"	"Cell316"	"Batch2"	"Group1"	63589.9476341089
"Cell317"	"Cell317"	"Batch2"	"Group2"	80705.5175820713
"Cell318"	"Cell318"	"Batch2"	"Group2"	44130.2708576411
"Cell319"	"Cell319"	"Batch2"	"Group1"	71836.1788401525
"Cell320"	"Cell320"	"Batch2"	"Group1"	43655.8945954405
"Cell321"	"Cell321"	"Batch2"	"Group2"	67342.2598813597
"Cell322"	"Cell322"	"Batch2"	"Group2"	60957.2732494488
"Cell323"	"Cell323"	"Batch2"	"Group2"	72653.1721419965
"Cell324"	"Cell324"	"Batch2"	"Group2"	60825.383377001
"Cell325"	"Cell325"	"Batch2"	"Group2"	43750.5749188972
"Cell326"	"Cell326"	"Batch2"	"Group1"	40072.0900883419
"Cell327"	"Cell327"	"Batch2"	"Group2"	66715.6411790123
"Cell328"	"Cell328"	"Batch2"	"Group1"	59001.8855220652
"Cell329"	"Cell329"	"Batch2"	"Group1"	53412.2992407419
"Cell330"	"Cell330"	"Batch2"	"Group1"	56262.6569966791
"Cell331"	"Cell331"	"Batch2"	"Group1"	52350.5114767113
"Cell332"	"Cell332"	"Batch2"	"Group2"	58019.3531913313
"Cell333"	"Cell333"	"Batch2"	"Group2"	49698.9450648469
"Cell334"	"Cell334"	"Batch2"	"Group2"	40271.4517701575
"Cell335"	"Cell335"	"Batch2"	"Group2"	57301.3830351207
"Cell336"	"Cell336"	"Batch2"	"Group2"	73795.6579795652
"Cell337"	"Cell337"	"Batch2"	"Group2"	87156.9602783987
"Cell338"	"Cell338"	"Batch2"	"Group2"	59905.3585994382
"Cell339"	"Cell339"	"Batch2"	"Group1"	58915.8841387795
"Cell340"	"Cell340"	"Batch2"	"Group2"	72591.016700416
"Cell341"	"Cell341"	"Batch2"	"Group2"	60519.0943496087
"Cell342"	"Cell342"	"Batch2"	"Group2"	54886.3695129066
"Cell343"	"Cell343"	"Batch2"	"Group1"	42299.92317892
"Cell344"	"Cell344"	"Batch2"	"Group2"	46502.4779797883
"Cell345"	"Cell345"	"Batch2"	"Group2"	64942.770188884
"Cell346"	"Cell346"	"Batch2"	"Group2"	44715.2196255847
"Cell347"	"Cell347"	"Batch2"	"Group1"	73842.6291092388
"Cell348"	"Cell348"	"Batch2"	"Group2"	45739.3333230065
"Cell349"	"Cell349"	"Batch2"	"Group1"	57600.4632033976
"Cell350"	"Cell350"	"Batch2"	"Group1"	59846.1755630267
"Cell351"	"Cell351"	"Batch2"	"Group2"	59720.7047941244
"Cell352"	"Cell352"	"Batch2"	"Group2"	61721.6144879247
"Cell353"	"Cell353"	"Batch2"	"Group2"	67487.8071871752
"Cell354"	"Cell354"	"Batch2"	"Group2"	58381.6853458864
"Cell355"	"Cell355"	"Batch2"	"Group1"	56970.7288991358
"Cell356"	"Cell356"	"Batch2"	"Group2"	61825.1475511836
"Cell357"	"Cell357"	"Batch2"	"Group2"	54900.163831887
"Cell358"	"Cell358"	"Batch2"	"Group1"	81428.6522924461
"Cell359"	"Cell359"	"Batch2"	"Group2"	38791.2771524017
"Cell360"	"Cell360"	"Batch2"	"Group2"	73526.4823110056
"Cell361"	"Cell361"	"Batch2"	"Group2"	56971.328606457
"Cell362"	"Cell362"	"Batch2"	"Group2"	65151.0746329315
"Cell363"	"Cell363"	"Batch2"	"Group2"	72950.0805935269
"Cell364"	"Cell364"	"Batch2"	"Group1"	70764.5631859206
"Cell365"	"Cell365"	"Batch2"	"Group2"	52464.6888099614
"Cell366"	"Cell366"	"Batch2"	"Group2"	81863.9415402652
"Cell367"	"Cell367"	"Batch2"	"Group2"	43278.2212035101
"Cell368"	"Cell368"	"Batch2"	"Group1"	71166.6276469256
"Cell369"	"Cell369"	"Batch2"	"Group2"	54050.7903381424
"Cell370"	"Cell370"	"Batch2"	"Group2"	40803.6572522672
"Cell371"	"Cell371"	"Batch2"	"Group2"	41226.5287687628
"Cell372"	"Cell372"	"Batch2"	"Group2"	62883.2940918561
"Cell373"	"Cell373"	"Batch2"	"Group1"	93405.6262272305
"Cell374"	"Cell374"	"Batch2"	"Group2"	63238.9199652296
"Cell375"	"Cell375"	"Batch2"	"Group1"	75068.5487862066
"Cell376"	"Cell376"	"Batch2"	"Group1"	70808.467841565
"Cell377"	"Cell377"	"Batch2"	"Group2"	52526.702820405
"Cell378"	"Cell378"	"Batch2"	"Group2"	72460.1616763243
"Cell379"	"Cell379"	"Batch2"	"Group2"	64253.4239956028
"Cell380"	"Cell380"	"Batch2"	"Group1"	62399.9565803731
"Cell381"	"Cell381"	"Batch2"	"Group2"	73146.725909542
"Cell382"	"Cell382"	"Batch2"	"Group2"	69528.3872866923
"Cell383"	"Cell383"	"Batch2"	"Group2"	52822.104750134
"Cell384"	"Cell384"	"Batch2"	"Group2"	64798.9538025296
"Cell385"	"Cell385"	"Batch2"	"Group2"	50089.4862214516
"Cell386"	"Cell386"	"Batch2"	"Group1"	67925.2885272523
"Cell387"	"Cell387"	"Batch2"	"Group2"	54910.4504324303
"Cell388"	"Cell388"	"Batch2"	"Group1"	65540.7738085355
"Cell389"	"Cell389"	"Batch2"	"Group2"	64447.0869691403
"Cell390"	"Cell390"	"Batch2"	"Group2"	56722.2881798238
"Cell391"	"Cell391"	"Batch2"	"Group1"	65716.3165886683
"Cell392"	"Cell392"	"Batch2"	"Group2"	67162.5611238345
"Cell393"	"Cell393"	"Batch2"	"Group2"	57174.3129365863
"Cell394"	"Cell394"	"Batch2"	"Group2"	75693.5704842439
"Cell395"	"Cell395"	"Batch2"	"Group1"	79105.7260656841
"Cell396"	"Cell396"	"Batch2"	"Group2"	52449.2727875558
"Cell397"	"Cell397"	"Batch2"	"Group1"	51252.8322380414
"Cell398"	"Cell398"	"Batch2"	"Group1"	66350.5756565173
"Cell399"	"Cell399"	"Batch2"	"Group2"	49878.1122073011
