"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell57"	"Cell57"	"Batch1"	"Group2"	47840.8654384245
"Cell58"	"Cell58"	"Batch1"	"Group2"	55849.4009667701
"Cell59"	"Cell59"	"Batch1"	"Group2"	76709.4686142615
"Cell60"	"Cell60"	"Batch1"	"Group2"	56679.0814074326
"Cell61"	"Cell61"	"Batch1"	"Group2"	61850.5421356246
"Cell62"	"Cell62"	"Batch1"	"Group1"	59105.4619585008
"Cell63"	"Cell63"	"Batch1"	"Group1"	51997.5863736502
"Cell64"	"Cell64"	"Batch1"	"Group2"	78624.5643988505
"Cell65"	"Cell65"	"Batch1"	"Group1"	48083.6442739216
"Cell66"	"Cell66"	"Batch1"	"Group2"	57200.2356028655
"Cell67"	"Cell67"	"Batch1"	"Group2"	55850.535010969
"Cell68"	"Cell68"	"Batch1"	"Group1"	66597.7268058281
"Cell69"	"Cell69"	"Batch1"	"Group2"	82573.7334903202
"Cell70"	"Cell70"	"Batch1"	"Group2"	66354.2376087847
"Cell71"	"Cell71"	"Batch1"	"Group2"	78942.4695105763
"Cell72"	"Cell72"	"Batch1"	"Group2"	69746.2831233763
"Cell73"	"Cell73"	"Batch1"	"Group2"	52843.1352189758
"Cell74"	"Cell74"	"Batch1"	"Group2"	60858.6207232257
"Cell75"	"Cell75"	"Batch1"	"Group2"	78843.1584730018
"Cell76"	"Cell76"	"Batch1"	"Group1"	43815.6720956484
"Cell77"	"Cell77"	"Batch1"	"Group2"	63892.2999870036
"Cell78"	"Cell78"	"Batch1"	"Group2"	58025.7372394012
"Cell79"	"Cell79"	"Batch1"	"Group2"	71364.5675353338
"Cell80"	"Cell80"	"Batch1"	"Group2"	69566.1456587336
"Cell81"	"Cell81"	"Batch1"	"Group2"	63589.9476341089
"Cell82"	"Cell82"	"Batch1"	"Group2"	80705.5175820713
"Cell83"	"Cell83"	"Batch1"	"Group2"	44130.2708576411
"Cell84"	"Cell84"	"Batch1"	"Group2"	71836.1788401525
"Cell85"	"Cell85"	"Batch1"	"Group1"	43655.8945954405
"Cell86"	"Cell86"	"Batch1"	"Group2"	67342.2598813597
"Cell87"	"Cell87"	"Batch1"	"Group2"	60957.2732494488
"Cell88"	"Cell88"	"Batch1"	"Group2"	72653.1721419965
"Cell89"	"Cell89"	"Batch1"	"Group2"	60825.383377001
"Cell90"	"Cell90"	"Batch1"	"Group2"	43750.5749188972
"Cell91"	"Cell91"	"Batch1"	"Group2"	40072.0900883419
"Cell92"	"Cell92"	"Batch1"	"Group2"	66715.6411790123
"Cell93"	"Cell93"	"Batch1"	"Group2"	59001.8855220652
"Cell94"	"Cell94"	"Batch1"	"Group1"	53412.2992407419
"Cell95"	"Cell95"	"Batch1"	"Group1"	56262.6569966791
"Cell96"	"Cell96"	"Batch1"	"Group1"	52350.5114767113
"Cell97"	"Cell97"	"Batch1"	"Group2"	58019.3531913313
"Cell98"	"Cell98"	"Batch1"	"Group2"	49698.9450648469
"Cell99"	"Cell99"	"Batch1"	"Group1"	40271.4517701575
"Cell100"	"Cell100"	"Batch1"	"Group2"	57301.3830351207
"Cell101"	"Cell101"	"Batch1"	"Group2"	73795.6579795652
"Cell102"	"Cell102"	"Batch1"	"Group2"	87156.9602783987
"Cell103"	"Cell103"	"Batch1"	"Group2"	59905.3585994382
"Cell104"	"Cell104"	"Batch1"	"Group2"	58915.8841387795
"Cell105"	"Cell105"	"Batch1"	"Group1"	72591.016700416
"Cell106"	"Cell106"	"Batch1"	"Group1"	60519.0943496087
"Cell107"	"Cell107"	"Batch1"	"Group1"	54886.3695129066
"Cell108"	"Cell108"	"Batch1"	"Group1"	42299.92317892
"Cell109"	"Cell109"	"Batch1"	"Group2"	46502.4779797883
"Cell110"	"Cell110"	"Batch1"	"Group2"	64942.770188884
"Cell111"	"Cell111"	"Batch1"	"Group2"	44715.2196255847
"Cell112"	"Cell112"	"Batch1"	"Group1"	73842.6291092388
"Cell113"	"Cell113"	"Batch1"	"Group1"	45739.3333230065
"Cell114"	"Cell114"	"Batch1"	"Group2"	57600.4632033976
"Cell115"	"Cell115"	"Batch1"	"Group2"	59846.1755630267
"Cell116"	"Cell116"	"Batch1"	"Group2"	59720.7047941244
"Cell117"	"Cell117"	"Batch1"	"Group2"	61721.6144879247
"Cell118"	"Cell118"	"Batch1"	"Group2"	67487.8071871752
"Cell119"	"Cell119"	"Batch1"	"Group2"	58381.6853458864
"Cell120"	"Cell120"	"Batch1"	"Group1"	56970.7288991358
"Cell121"	"Cell121"	"Batch1"	"Group2"	61825.1475511836
"Cell122"	"Cell122"	"Batch1"	"Group2"	54900.163831887
"Cell123"	"Cell123"	"Batch1"	"Group2"	81428.6522924461
"Cell124"	"Cell124"	"Batch1"	"Group2"	38791.2771524017
"Cell125"	"Cell125"	"Batch1"	"Group1"	73526.4823110056
"Cell126"	"Cell126"	"Batch1"	"Group2"	56971.328606457
"Cell127"	"Cell127"	"Batch1"	"Group1"	65151.0746329315
"Cell128"	"Cell128"	"Batch1"	"Group1"	72950.0805935269
"Cell129"	"Cell129"	"Batch1"	"Group2"	70764.5631859206
"Cell130"	"Cell130"	"Batch1"	"Group1"	52464.6888099614
"Cell131"	"Cell131"	"Batch1"	"Group1"	81863.9415402652
"Cell132"	"Cell132"	"Batch1"	"Group2"	43278.2212035101
"Cell133"	"Cell133"	"Batch1"	"Group2"	71166.6276469256
"Cell134"	"Cell134"	"Batch1"	"Group1"	54050.7903381424
"Cell135"	"Cell135"	"Batch1"	"Group1"	40803.6572522672
"Cell136"	"Cell136"	"Batch1"	"Group2"	41226.5287687628
"Cell137"	"Cell137"	"Batch1"	"Group1"	62883.2940918561
"Cell138"	"Cell138"	"Batch1"	"Group2"	93405.6262272305
"Cell139"	"Cell139"	"Batch1"	"Group1"	63238.9199652296
"Cell140"	"Cell140"	"Batch1"	"Group2"	75068.5487862066
"Cell141"	"Cell141"	"Batch1"	"Group2"	70808.467841565
"Cell142"	"Cell142"	"Batch1"	"Group2"	52526.702820405
"Cell143"	"Cell143"	"Batch1"	"Group2"	72460.1616763243
"Cell144"	"Cell144"	"Batch1"	"Group1"	64253.4239956028
"Cell145"	"Cell145"	"Batch1"	"Group1"	62399.9565803731
"Cell146"	"Cell146"	"Batch1"	"Group1"	73146.725909542
"Cell147"	"Cell147"	"Batch1"	"Group2"	69528.3872866923
"Cell148"	"Cell148"	"Batch1"	"Group1"	52822.104750134
"Cell149"	"Cell149"	"Batch1"	"Group2"	64798.9538025296
"Cell150"	"Cell150"	"Batch1"	"Group2"	50089.4862214516
"Cell151"	"Cell151"	"Batch1"	"Group1"	67925.2885272523
"Cell152"	"Cell152"	"Batch1"	"Group2"	54910.4504324303
"Cell153"	"Cell153"	"Batch1"	"Group1"	65540.7738085355
"Cell154"	"Cell154"	"Batch1"	"Group2"	64447.0869691403
"Cell155"	"Cell155"	"Batch1"	"Group2"	56722.2881798238
"Cell156"	"Cell156"	"Batch1"	"Group1"	65716.3165886683
"Cell157"	"Cell157"	"Batch1"	"Group2"	67162.5611238345
"Cell158"	"Cell158"	"Batch1"	"Group2"	57174.3129365863
"Cell159"	"Cell159"	"Batch1"	"Group2"	75693.5704842439
"Cell160"	"Cell160"	"Batch1"	"Group2"	79105.7260656841
"Cell161"	"Cell161"	"Batch1"	"Group1"	52449.2727875558
"Cell162"	"Cell162"	"Batch1"	"Group2"	51252.8322380414
"Cell163"	"Cell163"	"Batch1"	"Group2"	66350.5756565173
"Cell164"	"Cell164"	"Batch1"	"Group2"	49878.1122073011
"Cell165"	"Cell165"	"Batch1"	"Group2"	54727.1516409818
"Cell166"	"Cell166"	"Batch1"	"Group2"	70304.1803044277
"Cell167"	"Cell167"	"Batch1"	"Group2"	53386.0433234665
"Cell168"	"Cell168"	"Batch1"	"Group2"	40715.9410374973
"Cell169"	"Cell169"	"Batch1"	"Group2"	68382.9064559613
"Cell170"	"Cell170"	"Batch1"	"Group2"	43455.4674205543
"Cell171"	"Cell171"	"Batch1"	"Group1"	45664.6588555696
"Cell172"	"Cell172"	"Batch1"	"Group2"	32741.9845360269
"Cell173"	"Cell173"	"Batch1"	"Group2"	70703.3026552244
"Cell174"	"Cell174"	"Batch1"	"Group2"	62957.7671429332
"Cell175"	"Cell175"	"Batch1"	"Group2"	65674.0200466336
"Cell176"	"Cell176"	"Batch1"	"Group2"	70895.2308680285
"Cell177"	"Cell177"	"Batch1"	"Group1"	59373.6435222957
"Cell178"	"Cell178"	"Batch1"	"Group2"	47996.5695131501
"Cell179"	"Cell179"	"Batch1"	"Group1"	67020.5877126769
"Cell180"	"Cell180"	"Batch1"	"Group1"	77704.8497819444
"Cell181"	"Cell181"	"Batch1"	"Group1"	44353.895196638
"Cell182"	"Cell182"	"Batch1"	"Group1"	53029.4210664314
"Cell183"	"Cell183"	"Batch1"	"Group2"	56474.8670316033
"Cell184"	"Cell184"	"Batch1"	"Group2"	46261.4061195058
"Cell185"	"Cell185"	"Batch1"	"Group1"	68790.5162870448
"Cell186"	"Cell186"	"Batch1"	"Group1"	53112.2894092227
"Cell187"	"Cell187"	"Batch1"	"Group1"	76986.1895914426
"Cell188"	"Cell188"	"Batch1"	"Group1"	60518.3317784914
"Cell189"	"Cell189"	"Batch1"	"Group2"	69259.7011837739
"Cell190"	"Cell190"	"Batch1"	"Group2"	81815.3054797094
"Cell191"	"Cell191"	"Batch1"	"Group2"	63140.9590159578
"Cell192"	"Cell192"	"Batch1"	"Group1"	74261.3013518395
"Cell193"	"Cell193"	"Batch1"	"Group2"	62451.1285305405
"Cell194"	"Cell194"	"Batch1"	"Group2"	44252.4180807423
"Cell195"	"Cell195"	"Batch1"	"Group2"	60143.0068009364
"Cell196"	"Cell196"	"Batch1"	"Group2"	69121.9241707132
"Cell197"	"Cell197"	"Batch1"	"Group2"	66031.7788972426
"Cell198"	"Cell198"	"Batch1"	"Group2"	57827.650974146
"Cell199"	"Cell199"	"Batch1"	"Group1"	46932.2383082918
"Cell200"	"Cell200"	"Batch1"	"Group1"	68137.2732639443
"Cell201"	"Cell201"	"Batch1"	"Group1"	49846.7607994253
"Cell202"	"Cell202"	"Batch1"	"Group2"	46613.026119553
"Cell203"	"Cell203"	"Batch1"	"Group1"	67439.4571779863
"Cell204"	"Cell204"	"Batch1"	"Group2"	46790.6121623364
"Cell205"	"Cell205"	"Batch1"	"Group2"	62873.0493698001
"Cell206"	"Cell206"	"Batch1"	"Group2"	59907.3473631929
"Cell207"	"Cell207"	"Batch1"	"Group1"	45906.3193386243
"Cell208"	"Cell208"	"Batch1"	"Group2"	75806.4971522297
"Cell209"	"Cell209"	"Batch1"	"Group2"	53180.0710151944
"Cell210"	"Cell210"	"Batch1"	"Group2"	76114.6216921867
"Cell211"	"Cell211"	"Batch1"	"Group2"	54447.5571945594
"Cell212"	"Cell212"	"Batch1"	"Group2"	53369.1733820529
"Cell213"	"Cell213"	"Batch1"	"Group2"	59501.3806269202
"Cell214"	"Cell214"	"Batch1"	"Group2"	55736.3937257536
"Cell215"	"Cell215"	"Batch1"	"Group2"	55752.6256163323
"Cell216"	"Cell216"	"Batch1"	"Group1"	50234.9924354555
"Cell217"	"Cell217"	"Batch1"	"Group2"	46977.3370964574
"Cell218"	"Cell218"	"Batch1"	"Group2"	67687.5351971071
"Cell219"	"Cell219"	"Batch1"	"Group2"	50958.1166276795
"Cell220"	"Cell220"	"Batch1"	"Group1"	45465.4790153168
"Cell221"	"Cell221"	"Batch1"	"Group2"	54091.3963676991
"Cell222"	"Cell222"	"Batch1"	"Group2"	51011.8329107606
"Cell223"	"Cell223"	"Batch1"	"Group2"	38616.8065238811
"Cell224"	"Cell224"	"Batch1"	"Group1"	56489.6418447715
"Cell225"	"Cell225"	"Batch1"	"Group2"	61909.8655142185
"Cell226"	"Cell226"	"Batch1"	"Group1"	63509.0993393288
"Cell227"	"Cell227"	"Batch1"	"Group2"	64766.7901370978
"Cell228"	"Cell228"	"Batch1"	"Group2"	49012.5299368074
"Cell229"	"Cell229"	"Batch1"	"Group2"	56097.9515192267
"Cell230"	"Cell230"	"Batch1"	"Group2"	48939.01640973
"Cell231"	"Cell231"	"Batch1"	"Group2"	52728.622239454
"Cell232"	"Cell232"	"Batch1"	"Group2"	47006.0625313553
"Cell233"	"Cell233"	"Batch1"	"Group2"	47892.1669054782
"Cell234"	"Cell234"	"Batch1"	"Group2"	67912.557158947
"Cell235"	"Cell235"	"Batch1"	"Group1"	56698.0833596811
"Cell236"	"Cell236"	"Batch1"	"Group1"	56853.4262904718
"Cell237"	"Cell237"	"Batch1"	"Group2"	84618.7909330506
"Cell238"	"Cell238"	"Batch1"	"Group1"	59178.9727011852
"Cell239"	"Cell239"	"Batch1"	"Group2"	53776.2523774546
"Cell240"	"Cell240"	"Batch1"	"Group2"	69526.0887791318
"Cell241"	"Cell241"	"Batch1"	"Group2"	54314.6046998125
"Cell242"	"Cell242"	"Batch1"	"Group2"	78793.166795745
"Cell243"	"Cell243"	"Batch1"	"Group2"	55518.1641333065
"Cell244"	"Cell244"	"Batch1"	"Group2"	52932.3243303576
"Cell245"	"Cell245"	"Batch1"	"Group2"	47399.8806517801
"Cell246"	"Cell246"	"Batch1"	"Group2"	63941.7679081748
"Cell247"	"Cell247"	"Batch1"	"Group2"	80282.1132043548
"Cell248"	"Cell248"	"Batch1"	"Group2"	55759.221905175
"Cell249"	"Cell249"	"Batch1"	"Group2"	63088.4840292744
"Cell250"	"Cell250"	"Batch1"	"Group1"	64001.7541804133
"Cell251"	"Cell251"	"Batch1"	"Group2"	79573.6787406359
"Cell252"	"Cell252"	"Batch1"	"Group2"	68375.8738660463
"Cell253"	"Cell253"	"Batch1"	"Group2"	48303.9670042405
"Cell254"	"Cell254"	"Batch1"	"Group2"	52084.3419960229
"Cell255"	"Cell255"	"Batch1"	"Group2"	51574.0495162511
"Cell256"	"Cell256"	"Batch1"	"Group1"	61593.6816981935
"Cell257"	"Cell257"	"Batch1"	"Group2"	59826.8930770504
"Cell258"	"Cell258"	"Batch1"	"Group2"	64446.2937063703
"Cell259"	"Cell259"	"Batch1"	"Group2"	52498.0558812409
"Cell260"	"Cell260"	"Batch1"	"Group2"	55532.8860652818
"Cell261"	"Cell261"	"Batch1"	"Group1"	69443.7264413991
"Cell262"	"Cell262"	"Batch1"	"Group2"	58693.1702352383
"Cell263"	"Cell263"	"Batch1"	"Group2"	52530.1213618052
"Cell264"	"Cell264"	"Batch1"	"Group1"	72709.9032352807
"Cell265"	"Cell265"	"Batch1"	"Group2"	60035.9760478905
"Cell266"	"Cell266"	"Batch1"	"Group2"	49845.9768289593
"Cell267"	"Cell267"	"Batch1"	"Group1"	84283.18958084
"Cell268"	"Cell268"	"Batch1"	"Group2"	47400.1087512483
"Cell269"	"Cell269"	"Batch1"	"Group1"	41931.5056412825
"Cell270"	"Cell270"	"Batch1"	"Group1"	38153.5280299609
"Cell271"	"Cell271"	"Batch1"	"Group2"	68201.7288972188
"Cell272"	"Cell272"	"Batch1"	"Group1"	53821.7788126092
"Cell273"	"Cell273"	"Batch1"	"Group2"	56663.6464841577
"Cell274"	"Cell274"	"Batch1"	"Group2"	63444.7923254911
"Cell275"	"Cell275"	"Batch1"	"Group1"	54540.7379989463
"Cell276"	"Cell276"	"Batch1"	"Group2"	43407.5194809765
"Cell277"	"Cell277"	"Batch1"	"Group2"	40539.9521946769
"Cell278"	"Cell278"	"Batch1"	"Group2"	55930.2141305498
"Cell279"	"Cell279"	"Batch1"	"Group2"	62003.4374645083
"Cell280"	"Cell280"	"Batch1"	"Group2"	37965.9311484962
"Cell281"	"Cell281"	"Batch1"	"Group2"	63456.1817934444
"Cell282"	"Cell282"	"Batch1"	"Group2"	65150.891840658
"Cell283"	"Cell283"	"Batch1"	"Group2"	77570.8873404391
"Cell284"	"Cell284"	"Batch1"	"Group1"	61879.4120826325
"Cell285"	"Cell285"	"Batch1"	"Group2"	62379.4247341835
"Cell286"	"Cell286"	"Batch1"	"Group2"	67570.0911384059
"Cell287"	"Cell287"	"Batch1"	"Group2"	59645.3724513931
"Cell288"	"Cell288"	"Batch1"	"Group2"	58927.1450693134
"Cell289"	"Cell289"	"Batch1"	"Group2"	61279.2700655492
"Cell290"	"Cell290"	"Batch1"	"Group2"	69482.8106933974
"Cell291"	"Cell291"	"Batch1"	"Group1"	54925.9876725178
"Cell292"	"Cell292"	"Batch1"	"Group1"	54181.4679716507
"Cell293"	"Cell293"	"Batch1"	"Group2"	50360.7602650039
"Cell294"	"Cell294"	"Batch1"	"Group2"	49436.7099374988
"Cell295"	"Cell295"	"Batch1"	"Group2"	63918.2367161795
"Cell296"	"Cell296"	"Batch1"	"Group2"	81591.0166760049
"Cell297"	"Cell297"	"Batch1"	"Group1"	49327.0596249627
"Cell298"	"Cell298"	"Batch1"	"Group2"	57659.5931268581
"Cell299"	"Cell299"	"Batch1"	"Group2"	48727.5456228985
"Cell300"	"Cell300"	"Batch1"	"Group2"	71798.3869116297
"Cell301"	"Cell301"	"Batch1"	"Group2"	56191.6600430014
"Cell302"	"Cell302"	"Batch1"	"Group2"	62056.5157580843
"Cell303"	"Cell303"	"Batch1"	"Group2"	64190.1876430506
"Cell304"	"Cell304"	"Batch1"	"Group2"	48491.5190043525
"Cell305"	"Cell305"	"Batch1"	"Group1"	58632.8936037636
"Cell306"	"Cell306"	"Batch1"	"Group1"	57201.2755292169
"Cell307"	"Cell307"	"Batch1"	"Group2"	68533.0310054004
"Cell308"	"Cell308"	"Batch1"	"Group2"	46786.5506484954
"Cell309"	"Cell309"	"Batch1"	"Group2"	47099.0302733079
"Cell310"	"Cell310"	"Batch1"	"Group2"	69784.9266825552
"Cell311"	"Cell311"	"Batch1"	"Group2"	53230.1597741623
"Cell312"	"Cell312"	"Batch1"	"Group1"	52467.0605725351
"Cell313"	"Cell313"	"Batch1"	"Group2"	61242.8694470821
"Cell314"	"Cell314"	"Batch1"	"Group2"	56157.7649530279
"Cell315"	"Cell315"	"Batch1"	"Group2"	86966.3289697591
"Cell316"	"Cell316"	"Batch1"	"Group1"	63064.0585495161
"Cell317"	"Cell317"	"Batch1"	"Group2"	61840.3915054749
"Cell318"	"Cell318"	"Batch1"	"Group2"	72129.25391778
"Cell319"	"Cell319"	"Batch1"	"Group1"	59160.5758262111
"Cell320"	"Cell320"	"Batch1"	"Group1"	60460.645213339
"Cell321"	"Cell321"	"Batch1"	"Group2"	48311.5006432493
"Cell322"	"Cell322"	"Batch1"	"Group2"	37850.7363803617
"Cell323"	"Cell323"	"Batch1"	"Group2"	47030.8303242389
"Cell324"	"Cell324"	"Batch1"	"Group2"	61256.2942234724
"Cell325"	"Cell325"	"Batch1"	"Group2"	48695.4358116638
"Cell326"	"Cell326"	"Batch1"	"Group1"	68717.6631343764
"Cell327"	"Cell327"	"Batch1"	"Group2"	69218.0263129837
"Cell328"	"Cell328"	"Batch1"	"Group1"	62534.6475040063
"Cell329"	"Cell329"	"Batch1"	"Group1"	57507.3850204332
"Cell330"	"Cell330"	"Batch1"	"Group1"	45563.4904999339
"Cell331"	"Cell331"	"Batch1"	"Group1"	56286.6395764176
"Cell332"	"Cell332"	"Batch1"	"Group2"	54689.0848444334
"Cell333"	"Cell333"	"Batch1"	"Group2"	68367.0203633244
"Cell334"	"Cell334"	"Batch1"	"Group2"	77786.7126756458
"Cell335"	"Cell335"	"Batch1"	"Group2"	66184.9293032743
"Cell336"	"Cell336"	"Batch1"	"Group2"	47779.0382976956
"Cell337"	"Cell337"	"Batch1"	"Group2"	83633.5020548239
"Cell338"	"Cell338"	"Batch1"	"Group2"	73282.0230793216
"Cell339"	"Cell339"	"Batch1"	"Group1"	62611.4998051723
"Cell340"	"Cell340"	"Batch1"	"Group2"	38511.1497158487
"Cell341"	"Cell341"	"Batch1"	"Group2"	49468.0792194751
"Cell342"	"Cell342"	"Batch1"	"Group2"	59058.5962349008
"Cell343"	"Cell343"	"Batch1"	"Group1"	69721.3024291117
"Cell344"	"Cell344"	"Batch1"	"Group2"	47288.3460314016
"Cell345"	"Cell345"	"Batch1"	"Group2"	113804.778639609
"Cell346"	"Cell346"	"Batch1"	"Group2"	35926.6640436773
"Cell347"	"Cell347"	"Batch1"	"Group1"	57114.4946467246
"Cell348"	"Cell348"	"Batch1"	"Group2"	56845.2232185036
"Cell349"	"Cell349"	"Batch1"	"Group1"	52434.8442896566
"Cell350"	"Cell350"	"Batch1"	"Group1"	56173.5822047783
"Cell351"	"Cell351"	"Batch1"	"Group2"	69458.1041302047
"Cell352"	"Cell352"	"Batch1"	"Group2"	50268.8794015036
"Cell353"	"Cell353"	"Batch1"	"Group2"	39475.568744719
"Cell354"	"Cell354"	"Batch1"	"Group2"	61007.5911541043
"Cell355"	"Cell355"	"Batch1"	"Group1"	59852.3537440894
"Cell356"	"Cell356"	"Batch1"	"Group2"	59717.4689929843
"Cell357"	"Cell357"	"Batch1"	"Group2"	68431.8483853035
"Cell358"	"Cell358"	"Batch1"	"Group1"	59716.6681801604
"Cell359"	"Cell359"	"Batch1"	"Group2"	69927.1598785121
"Cell360"	"Cell360"	"Batch1"	"Group2"	40048.757707374
"Cell361"	"Cell361"	"Batch1"	"Group2"	47780.0707204649
"Cell362"	"Cell362"	"Batch1"	"Group2"	64200.0914618948
"Cell363"	"Cell363"	"Batch1"	"Group2"	55793.9267913102
"Cell364"	"Cell364"	"Batch1"	"Group1"	72327.1545749788
"Cell365"	"Cell365"	"Batch1"	"Group2"	48974.5487798279
"Cell366"	"Cell366"	"Batch1"	"Group2"	69201.6888392456
"Cell367"	"Cell367"	"Batch1"	"Group2"	52377.555678347
"Cell368"	"Cell368"	"Batch1"	"Group1"	47924.9709259718
"Cell369"	"Cell369"	"Batch1"	"Group2"	55906.669434607
"Cell370"	"Cell370"	"Batch1"	"Group2"	60473.217776942
"Cell371"	"Cell371"	"Batch1"	"Group2"	46838.6318227973
"Cell372"	"Cell372"	"Batch1"	"Group2"	51389.9968060209
"Cell373"	"Cell373"	"Batch1"	"Group1"	46665.6481662589
"Cell374"	"Cell374"	"Batch1"	"Group2"	73376.1915038558
"Cell375"	"Cell375"	"Batch1"	"Group1"	69197.6737569566
"Cell376"	"Cell376"	"Batch1"	"Group1"	48702.9349212875
"Cell377"	"Cell377"	"Batch1"	"Group2"	66934.4593417193
"Cell378"	"Cell378"	"Batch1"	"Group2"	56890.5039131098
"Cell379"	"Cell379"	"Batch1"	"Group2"	47921.601310996
"Cell380"	"Cell380"	"Batch1"	"Group1"	65136.4440453631
"Cell381"	"Cell381"	"Batch1"	"Group2"	56129.114819731
"Cell382"	"Cell382"	"Batch1"	"Group2"	71398.7742089412
"Cell383"	"Cell383"	"Batch1"	"Group2"	57585.5690889822
"Cell384"	"Cell384"	"Batch1"	"Group2"	75933.3299234443
"Cell385"	"Cell385"	"Batch1"	"Group2"	54070.6658907685
"Cell386"	"Cell386"	"Batch1"	"Group1"	62561.7659032569
"Cell387"	"Cell387"	"Batch1"	"Group2"	64476.6798228016
"Cell388"	"Cell388"	"Batch1"	"Group1"	63311.4628076144
"Cell389"	"Cell389"	"Batch1"	"Group2"	62341.8661223011
"Cell390"	"Cell390"	"Batch1"	"Group2"	59718.7124423553
"Cell391"	"Cell391"	"Batch1"	"Group1"	58795.8762006029
"Cell392"	"Cell392"	"Batch1"	"Group2"	78669.142953272
"Cell393"	"Cell393"	"Batch1"	"Group2"	71799.0205642353
"Cell394"	"Cell394"	"Batch1"	"Group2"	52998.6841951578
"Cell395"	"Cell395"	"Batch1"	"Group1"	79164.8324322833
"Cell396"	"Cell396"	"Batch1"	"Group2"	61633.4286157411
"Cell397"	"Cell397"	"Batch1"	"Group1"	52674.0732973272
"Cell398"	"Cell398"	"Batch1"	"Group1"	61942.4156070388
"Cell399"	"Cell399"	"Batch1"	"Group2"	58021.128200611
