"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell39"	"Cell39"	"Batch1"	"Group1"	72709.9032352807
"Cell40"	"Cell40"	"Batch1"	"Group2"	60035.9760478905
"Cell41"	"Cell41"	"Batch1"	"Group2"	49845.9768289593
"Cell42"	"Cell42"	"Batch1"	"Group2"	84283.18958084
"Cell43"	"Cell43"	"Batch1"	"Group2"	47400.1087512483
"Cell44"	"Cell44"	"Batch1"	"Group1"	41931.5056412825
"Cell45"	"Cell45"	"Batch1"	"Group2"	38153.5280299609
"Cell46"	"Cell46"	"Batch1"	"Group1"	68201.7288972188
"Cell47"	"Cell47"	"Batch1"	"Group1"	53821.7788126092
"Cell48"	"Cell48"	"Batch1"	"Group2"	56663.6464841577
"Cell49"	"Cell49"	"Batch1"	"Group1"	63444.7923254911
"Cell50"	"Cell50"	"Batch1"	"Group2"	54540.7379989463
"Cell51"	"Cell51"	"Batch1"	"Group2"	43407.5194809765
"Cell52"	"Cell52"	"Batch1"	"Group2"	40539.9521946769
"Cell53"	"Cell53"	"Batch1"	"Group2"	55930.2141305498
"Cell54"	"Cell54"	"Batch1"	"Group1"	62003.4374645083
"Cell55"	"Cell55"	"Batch1"	"Group2"	37965.9311484962
"Cell56"	"Cell56"	"Batch1"	"Group1"	63456.1817934444
"Cell57"	"Cell57"	"Batch1"	"Group2"	65150.891840658
"Cell58"	"Cell58"	"Batch1"	"Group2"	77570.8873404391
"Cell59"	"Cell59"	"Batch1"	"Group2"	61879.4120826325
"Cell60"	"Cell60"	"Batch1"	"Group2"	62379.4247341835
"Cell61"	"Cell61"	"Batch1"	"Group2"	67570.0911384059
"Cell62"	"Cell62"	"Batch1"	"Group1"	59645.3724513931
"Cell63"	"Cell63"	"Batch1"	"Group1"	58927.1450693134
"Cell64"	"Cell64"	"Batch1"	"Group2"	61279.2700655492
"Cell65"	"Cell65"	"Batch1"	"Group1"	69482.8106933974
"Cell66"	"Cell66"	"Batch1"	"Group2"	54925.9876725178
"Cell67"	"Cell67"	"Batch1"	"Group2"	54181.4679716507
"Cell68"	"Cell68"	"Batch1"	"Group1"	50360.7602650039
"Cell69"	"Cell69"	"Batch1"	"Group2"	49436.7099374988
"Cell70"	"Cell70"	"Batch1"	"Group2"	63918.2367161795
"Cell71"	"Cell71"	"Batch1"	"Group2"	81591.0166760049
"Cell72"	"Cell72"	"Batch1"	"Group2"	49327.0596249627
"Cell73"	"Cell73"	"Batch1"	"Group2"	57659.5931268581
"Cell74"	"Cell74"	"Batch1"	"Group2"	48727.5456228985
"Cell75"	"Cell75"	"Batch1"	"Group2"	71798.3869116297
"Cell76"	"Cell76"	"Batch1"	"Group1"	56191.6600430014
"Cell77"	"Cell77"	"Batch1"	"Group2"	62056.5157580843
"Cell78"	"Cell78"	"Batch1"	"Group2"	64190.1876430506
"Cell79"	"Cell79"	"Batch1"	"Group2"	48491.5190043525
"Cell80"	"Cell80"	"Batch1"	"Group2"	58632.8936037636
"Cell81"	"Cell81"	"Batch1"	"Group2"	57201.2755292169
"Cell82"	"Cell82"	"Batch1"	"Group2"	68533.0310054004
"Cell83"	"Cell83"	"Batch1"	"Group2"	46786.5506484954
"Cell84"	"Cell84"	"Batch1"	"Group2"	47099.0302733079
"Cell85"	"Cell85"	"Batch1"	"Group1"	69784.9266825552
"Cell86"	"Cell86"	"Batch1"	"Group2"	53230.1597741623
"Cell87"	"Cell87"	"Batch1"	"Group2"	52467.0605725351
"Cell88"	"Cell88"	"Batch1"	"Group2"	61242.8694470821
"Cell89"	"Cell89"	"Batch1"	"Group2"	56157.7649530279
"Cell90"	"Cell90"	"Batch1"	"Group2"	86966.3289697591
"Cell91"	"Cell91"	"Batch1"	"Group2"	63064.0585495161
"Cell92"	"Cell92"	"Batch1"	"Group2"	61840.3915054749
"Cell93"	"Cell93"	"Batch1"	"Group2"	72129.25391778
"Cell94"	"Cell94"	"Batch1"	"Group1"	59160.5758262111
"Cell95"	"Cell95"	"Batch1"	"Group1"	60460.645213339
"Cell96"	"Cell96"	"Batch1"	"Group1"	48311.5006432493
"Cell97"	"Cell97"	"Batch1"	"Group2"	37850.7363803617
"Cell98"	"Cell98"	"Batch1"	"Group2"	47030.8303242389
"Cell99"	"Cell99"	"Batch1"	"Group1"	61256.2942234724
"Cell100"	"Cell100"	"Batch1"	"Group2"	48695.4358116638
"Cell101"	"Cell101"	"Batch1"	"Group2"	68717.6631343764
"Cell102"	"Cell102"	"Batch1"	"Group2"	69218.0263129837
"Cell103"	"Cell103"	"Batch1"	"Group2"	62534.6475040063
"Cell104"	"Cell104"	"Batch1"	"Group2"	57507.3850204332
"Cell105"	"Cell105"	"Batch1"	"Group1"	45563.4904999339
"Cell106"	"Cell106"	"Batch1"	"Group1"	56286.6395764176
"Cell107"	"Cell107"	"Batch1"	"Group1"	54689.0848444334
"Cell108"	"Cell108"	"Batch1"	"Group1"	68367.0203633244
"Cell109"	"Cell109"	"Batch1"	"Group2"	77786.7126756458
"Cell110"	"Cell110"	"Batch1"	"Group2"	66184.9293032743
"Cell111"	"Cell111"	"Batch1"	"Group2"	47779.0382976956
"Cell112"	"Cell112"	"Batch1"	"Group1"	83633.5020548239
"Cell113"	"Cell113"	"Batch1"	"Group1"	73282.0230793216
"Cell114"	"Cell114"	"Batch1"	"Group2"	62611.4998051723
"Cell115"	"Cell115"	"Batch1"	"Group2"	38511.1497158487
"Cell116"	"Cell116"	"Batch1"	"Group2"	49468.0792194751
"Cell117"	"Cell117"	"Batch1"	"Group2"	59058.5962349008
"Cell118"	"Cell118"	"Batch1"	"Group2"	69721.3024291117
"Cell119"	"Cell119"	"Batch1"	"Group2"	47288.3460314016
"Cell120"	"Cell120"	"Batch1"	"Group1"	113804.778639609
"Cell121"	"Cell121"	"Batch1"	"Group2"	35926.6640436773
"Cell122"	"Cell122"	"Batch1"	"Group2"	57114.4946467246
"Cell123"	"Cell123"	"Batch1"	"Group2"	56845.2232185036
"Cell124"	"Cell124"	"Batch1"	"Group2"	52434.8442896566
"Cell125"	"Cell125"	"Batch1"	"Group1"	56173.5822047783
"Cell126"	"Cell126"	"Batch1"	"Group2"	69458.1041302047
"Cell127"	"Cell127"	"Batch1"	"Group1"	50268.8794015036
"Cell128"	"Cell128"	"Batch1"	"Group1"	39475.568744719
"Cell129"	"Cell129"	"Batch1"	"Group2"	61007.5911541043
"Cell130"	"Cell130"	"Batch1"	"Group1"	59852.3537440894
"Cell131"	"Cell131"	"Batch1"	"Group1"	59717.4689929843
"Cell132"	"Cell132"	"Batch1"	"Group2"	68431.8483853035
"Cell133"	"Cell133"	"Batch1"	"Group2"	59716.6681801604
"Cell134"	"Cell134"	"Batch1"	"Group1"	69927.1598785121
"Cell135"	"Cell135"	"Batch1"	"Group1"	40048.757707374
"Cell136"	"Cell136"	"Batch1"	"Group2"	47780.0707204649
"Cell137"	"Cell137"	"Batch1"	"Group1"	64200.0914618948
"Cell138"	"Cell138"	"Batch1"	"Group2"	55793.9267913102
"Cell139"	"Cell139"	"Batch1"	"Group1"	72327.1545749788
"Cell140"	"Cell140"	"Batch1"	"Group2"	48974.5487798279
"Cell141"	"Cell141"	"Batch1"	"Group2"	69201.6888392456
"Cell142"	"Cell142"	"Batch1"	"Group2"	52377.555678347
"Cell143"	"Cell143"	"Batch1"	"Group2"	47924.9709259718
"Cell144"	"Cell144"	"Batch1"	"Group1"	55906.669434607
"Cell145"	"Cell145"	"Batch1"	"Group1"	60473.217776942
"Cell146"	"Cell146"	"Batch1"	"Group1"	46838.6318227973
"Cell147"	"Cell147"	"Batch1"	"Group2"	51389.9968060209
"Cell148"	"Cell148"	"Batch1"	"Group1"	46665.6481662589
"Cell149"	"Cell149"	"Batch1"	"Group2"	73376.1915038558
"Cell150"	"Cell150"	"Batch1"	"Group2"	69197.6737569566
"Cell151"	"Cell151"	"Batch1"	"Group1"	48702.9349212875
"Cell152"	"Cell152"	"Batch1"	"Group2"	66934.4593417193
"Cell153"	"Cell153"	"Batch1"	"Group1"	56890.5039131098
"Cell154"	"Cell154"	"Batch1"	"Group2"	47921.601310996
"Cell155"	"Cell155"	"Batch1"	"Group2"	65136.4440453631
"Cell156"	"Cell156"	"Batch1"	"Group1"	56129.114819731
"Cell157"	"Cell157"	"Batch1"	"Group2"	71398.7742089412
"Cell158"	"Cell158"	"Batch1"	"Group2"	57585.5690889822
"Cell159"	"Cell159"	"Batch1"	"Group2"	75933.3299234443
"Cell160"	"Cell160"	"Batch1"	"Group2"	54070.6658907685
"Cell161"	"Cell161"	"Batch1"	"Group1"	62561.7659032569
"Cell162"	"Cell162"	"Batch1"	"Group2"	64476.6798228016
"Cell163"	"Cell163"	"Batch1"	"Group2"	63311.4628076144
"Cell164"	"Cell164"	"Batch1"	"Group2"	62341.8661223011
"Cell165"	"Cell165"	"Batch1"	"Group2"	59718.7124423553
"Cell166"	"Cell166"	"Batch1"	"Group2"	58795.8762006029
"Cell167"	"Cell167"	"Batch1"	"Group2"	78669.142953272
"Cell168"	"Cell168"	"Batch1"	"Group2"	71799.0205642353
"Cell169"	"Cell169"	"Batch1"	"Group2"	52998.6841951578
"Cell170"	"Cell170"	"Batch1"	"Group2"	79164.8324322833
"Cell171"	"Cell171"	"Batch1"	"Group1"	61633.4286157411
"Cell172"	"Cell172"	"Batch1"	"Group2"	52674.0732973272
"Cell173"	"Cell173"	"Batch1"	"Group2"	61942.4156070388
"Cell174"	"Cell174"	"Batch1"	"Group2"	58021.128200611
"Cell175"	"Cell175"	"Batch1"	"Group2"	61095.1594678477
"Cell176"	"Cell176"	"Batch1"	"Group2"	49282.344352815
"Cell177"	"Cell177"	"Batch1"	"Group1"	50819.475950684
"Cell178"	"Cell178"	"Batch1"	"Group2"	78635.9138918647
"Cell179"	"Cell179"	"Batch1"	"Group1"	72567.626552352
"Cell180"	"Cell180"	"Batch1"	"Group1"	50174.1435930754
"Cell181"	"Cell181"	"Batch1"	"Group1"	50010.1656583887
"Cell182"	"Cell182"	"Batch1"	"Group1"	84513.5052957252
"Cell183"	"Cell183"	"Batch1"	"Group2"	87711.5117370101
"Cell184"	"Cell184"	"Batch1"	"Group2"	51255.169531905
"Cell185"	"Cell185"	"Batch1"	"Group1"	46144.771849426
"Cell186"	"Cell186"	"Batch1"	"Group1"	101184.314965498
"Cell187"	"Cell187"	"Batch1"	"Group1"	62688.0289697046
"Cell188"	"Cell188"	"Batch1"	"Group1"	62152.7272944121
"Cell189"	"Cell189"	"Batch1"	"Group2"	60792.8417707932
"Cell190"	"Cell190"	"Batch1"	"Group2"	79298.305348665
"Cell191"	"Cell191"	"Batch1"	"Group2"	57621.7599891115
"Cell192"	"Cell192"	"Batch1"	"Group1"	80167.8974726535
"Cell193"	"Cell193"	"Batch1"	"Group2"	57289.2863068496
"Cell194"	"Cell194"	"Batch1"	"Group2"	66239.2970777986
"Cell195"	"Cell195"	"Batch1"	"Group2"	48693.4887444287
"Cell196"	"Cell196"	"Batch1"	"Group2"	61950.7314624989
"Cell197"	"Cell197"	"Batch1"	"Group2"	76125.1238681267
"Cell198"	"Cell198"	"Batch1"	"Group2"	57949.0130201704
"Cell199"	"Cell199"	"Batch1"	"Group1"	77380.8933085087
"Cell200"	"Cell200"	"Batch1"	"Group1"	103304.816213889
"Cell201"	"Cell201"	"Batch1"	"Group1"	72285.934341972
"Cell202"	"Cell202"	"Batch1"	"Group2"	56969.8347912074
"Cell203"	"Cell203"	"Batch1"	"Group1"	61040.6779129642
"Cell204"	"Cell204"	"Batch1"	"Group2"	54896.9906973668
"Cell205"	"Cell205"	"Batch1"	"Group2"	92571.2200277874
"Cell206"	"Cell206"	"Batch1"	"Group2"	33131.6426552773
"Cell207"	"Cell207"	"Batch1"	"Group1"	60850.6419358456
"Cell208"	"Cell208"	"Batch1"	"Group2"	61207.6561351415
"Cell209"	"Cell209"	"Batch1"	"Group2"	62485.4910304696
"Cell210"	"Cell210"	"Batch1"	"Group2"	43845.8817870651
"Cell211"	"Cell211"	"Batch1"	"Group2"	62520.0328052616
"Cell212"	"Cell212"	"Batch1"	"Group2"	62164.0889175709
"Cell213"	"Cell213"	"Batch1"	"Group2"	77012.6077960038
"Cell214"	"Cell214"	"Batch1"	"Group2"	66483.1330536803
"Cell215"	"Cell215"	"Batch1"	"Group2"	74838.7333517991
"Cell216"	"Cell216"	"Batch1"	"Group1"	49439.2316804035
"Cell217"	"Cell217"	"Batch1"	"Group2"	58402.7866348975
"Cell218"	"Cell218"	"Batch1"	"Group2"	62214.7610077744
"Cell219"	"Cell219"	"Batch1"	"Group2"	63224.2652401482
"Cell220"	"Cell220"	"Batch1"	"Group1"	52116.5120392201
"Cell221"	"Cell221"	"Batch1"	"Group2"	80485.6658978245
"Cell222"	"Cell222"	"Batch1"	"Group2"	52978.772618366
"Cell223"	"Cell223"	"Batch1"	"Group2"	43353.2957188313
"Cell224"	"Cell224"	"Batch1"	"Group1"	64893.1936076797
"Cell225"	"Cell225"	"Batch1"	"Group2"	68385.1578424896
"Cell226"	"Cell226"	"Batch1"	"Group1"	72317.7884255096
"Cell227"	"Cell227"	"Batch1"	"Group2"	49550.5104023241
"Cell228"	"Cell228"	"Batch1"	"Group2"	56973.544651372
"Cell229"	"Cell229"	"Batch1"	"Group2"	45904.237235746
"Cell230"	"Cell230"	"Batch1"	"Group2"	70894.8270340019
"Cell231"	"Cell231"	"Batch1"	"Group2"	64185.9325486307
"Cell232"	"Cell232"	"Batch1"	"Group2"	71879.940798846
"Cell233"	"Cell233"	"Batch1"	"Group2"	67619.7183236789
"Cell234"	"Cell234"	"Batch1"	"Group2"	53023.4953312538
"Cell235"	"Cell235"	"Batch1"	"Group1"	62064.6345762782
"Cell236"	"Cell236"	"Batch1"	"Group1"	40876.8070385486
"Cell237"	"Cell237"	"Batch1"	"Group2"	66210.1631164101
"Cell238"	"Cell238"	"Batch1"	"Group1"	72676.9699020944
"Cell239"	"Cell239"	"Batch1"	"Group2"	50254.3593225121
"Cell240"	"Cell240"	"Batch1"	"Group2"	39057.6911468706
"Cell241"	"Cell241"	"Batch1"	"Group2"	44153.8093226142
"Cell242"	"Cell242"	"Batch1"	"Group2"	47924.223166437
"Cell243"	"Cell243"	"Batch1"	"Group2"	76741.4132036128
"Cell244"	"Cell244"	"Batch1"	"Group2"	59915.8518113777
"Cell245"	"Cell245"	"Batch1"	"Group2"	46743.9952586214
"Cell246"	"Cell246"	"Batch1"	"Group2"	66912.4162977318
"Cell247"	"Cell247"	"Batch1"	"Group2"	38691.3031952979
"Cell248"	"Cell248"	"Batch1"	"Group2"	56987.9492945751
"Cell249"	"Cell249"	"Batch1"	"Group2"	74799.8669724114
"Cell250"	"Cell250"	"Batch1"	"Group1"	55919.3276046548
"Cell251"	"Cell251"	"Batch1"	"Group2"	77737.0820078355
"Cell252"	"Cell252"	"Batch1"	"Group2"	85739.1455310948
"Cell253"	"Cell253"	"Batch1"	"Group2"	47402.628252233
"Cell254"	"Cell254"	"Batch1"	"Group2"	47550.2571049745
"Cell255"	"Cell255"	"Batch1"	"Group2"	49866.7090671378
"Cell256"	"Cell256"	"Batch1"	"Group1"	66552.4479326053
"Cell257"	"Cell257"	"Batch1"	"Group2"	70757.6392831234
"Cell258"	"Cell258"	"Batch1"	"Group2"	76254.1710156614
"Cell259"	"Cell259"	"Batch1"	"Group2"	77644.3845935165
"Cell260"	"Cell260"	"Batch1"	"Group2"	74246.5403407481
"Cell261"	"Cell261"	"Batch1"	"Group1"	72255.2454485152
"Cell262"	"Cell262"	"Batch1"	"Group2"	61862.8389716234
"Cell263"	"Cell263"	"Batch1"	"Group2"	50129.8685600328
"Cell264"	"Cell264"	"Batch1"	"Group1"	51780.4427283077
"Cell265"	"Cell265"	"Batch1"	"Group2"	64959.5080134788
"Cell266"	"Cell266"	"Batch1"	"Group2"	83843.5019270281
"Cell267"	"Cell267"	"Batch1"	"Group1"	84220.6959124828
"Cell268"	"Cell268"	"Batch1"	"Group2"	40731.8923268611
"Cell269"	"Cell269"	"Batch1"	"Group1"	50675.6296729204
"Cell270"	"Cell270"	"Batch1"	"Group1"	79524.9830332869
"Cell271"	"Cell271"	"Batch1"	"Group2"	48396.2716153164
"Cell272"	"Cell272"	"Batch1"	"Group1"	43359.6474582002
"Cell273"	"Cell273"	"Batch1"	"Group2"	67505.3557217844
"Cell274"	"Cell274"	"Batch1"	"Group2"	84676.4617902877
"Cell275"	"Cell275"	"Batch1"	"Group1"	88159.3201219412
"Cell276"	"Cell276"	"Batch1"	"Group2"	66606.943985117
"Cell277"	"Cell277"	"Batch1"	"Group2"	69143.0724928043
"Cell278"	"Cell278"	"Batch1"	"Group2"	66971.2483489724
"Cell279"	"Cell279"	"Batch1"	"Group2"	59657.9450824426
"Cell280"	"Cell280"	"Batch1"	"Group2"	30505.1921791752
"Cell281"	"Cell281"	"Batch1"	"Group2"	69712.8993320606
"Cell282"	"Cell282"	"Batch1"	"Group2"	55367.8638518976
"Cell283"	"Cell283"	"Batch1"	"Group2"	73275.4014882545
"Cell284"	"Cell284"	"Batch1"	"Group1"	52817.8969995226
"Cell285"	"Cell285"	"Batch1"	"Group2"	43177.9197254033
"Cell286"	"Cell286"	"Batch1"	"Group2"	76806.8056470856
"Cell287"	"Cell287"	"Batch1"	"Group2"	62085.9807309737
"Cell288"	"Cell288"	"Batch1"	"Group2"	120458.533552907
"Cell289"	"Cell289"	"Batch1"	"Group2"	71906.2439920609
"Cell290"	"Cell290"	"Batch1"	"Group2"	73843.354945555
"Cell291"	"Cell291"	"Batch1"	"Group1"	69756.4373643495
"Cell292"	"Cell292"	"Batch1"	"Group1"	53067.6357208101
"Cell293"	"Cell293"	"Batch1"	"Group2"	55598.6426660431
"Cell294"	"Cell294"	"Batch1"	"Group2"	74010.7171215351
"Cell295"	"Cell295"	"Batch1"	"Group2"	73940.9518710352
"Cell296"	"Cell296"	"Batch1"	"Group2"	67278.3945553513
"Cell297"	"Cell297"	"Batch1"	"Group1"	49152.6732093134
"Cell298"	"Cell298"	"Batch1"	"Group2"	83861.7058659422
"Cell299"	"Cell299"	"Batch1"	"Group2"	45553.0013052622
"Cell300"	"Cell300"	"Batch1"	"Group2"	54904.8590176456
"Cell301"	"Cell301"	"Batch1"	"Group2"	95321.5982943925
"Cell302"	"Cell302"	"Batch1"	"Group2"	66491.1700237683
"Cell303"	"Cell303"	"Batch1"	"Group2"	72703.6365275081
"Cell304"	"Cell304"	"Batch1"	"Group2"	64562.86500955
"Cell305"	"Cell305"	"Batch1"	"Group1"	49060.686986058
"Cell306"	"Cell306"	"Batch1"	"Group1"	53130.3399239267
"Cell307"	"Cell307"	"Batch1"	"Group2"	61886.063295044
"Cell308"	"Cell308"	"Batch1"	"Group2"	33333.0462673151
"Cell309"	"Cell309"	"Batch1"	"Group2"	50534.7832141853
"Cell310"	"Cell310"	"Batch1"	"Group2"	70243.0677382808
"Cell311"	"Cell311"	"Batch1"	"Group2"	56404.7583822509
"Cell312"	"Cell312"	"Batch1"	"Group1"	56572.4685578635
"Cell313"	"Cell313"	"Batch1"	"Group2"	71246.705704078
"Cell314"	"Cell314"	"Batch1"	"Group2"	53697.8876211945
"Cell315"	"Cell315"	"Batch1"	"Group2"	67897.9177785283
"Cell316"	"Cell316"	"Batch1"	"Group1"	45050.2182846473
"Cell317"	"Cell317"	"Batch1"	"Group2"	46840.2180698182
"Cell318"	"Cell318"	"Batch1"	"Group2"	42837.9168395292
"Cell319"	"Cell319"	"Batch1"	"Group1"	60893.3770436889
"Cell320"	"Cell320"	"Batch1"	"Group1"	57456.0086609213
"Cell321"	"Cell321"	"Batch1"	"Group2"	79887.4723667487
"Cell322"	"Cell322"	"Batch1"	"Group2"	59375.8928871314
"Cell323"	"Cell323"	"Batch1"	"Group2"	78491.9142713624
"Cell324"	"Cell324"	"Batch1"	"Group2"	88348.5490784486
"Cell325"	"Cell325"	"Batch1"	"Group2"	54274.6395344292
"Cell326"	"Cell326"	"Batch1"	"Group1"	64711.0862918505
"Cell327"	"Cell327"	"Batch1"	"Group2"	50565.3252263545
"Cell328"	"Cell328"	"Batch1"	"Group1"	69396.941406706
"Cell329"	"Cell329"	"Batch1"	"Group1"	48245.0221583905
"Cell330"	"Cell330"	"Batch1"	"Group1"	48761.9329410815
"Cell331"	"Cell331"	"Batch1"	"Group1"	63434.2155512155
"Cell332"	"Cell332"	"Batch1"	"Group2"	60971.5270100632
"Cell333"	"Cell333"	"Batch1"	"Group2"	63103.0659023771
"Cell334"	"Cell334"	"Batch1"	"Group2"	60710.1987911997
"Cell335"	"Cell335"	"Batch1"	"Group2"	53866.8875111668
"Cell336"	"Cell336"	"Batch1"	"Group2"	58335.118527407
"Cell337"	"Cell337"	"Batch1"	"Group2"	82787.4491749422
"Cell338"	"Cell338"	"Batch1"	"Group2"	59660.2337045811
"Cell339"	"Cell339"	"Batch1"	"Group1"	45995.6506636194
"Cell340"	"Cell340"	"Batch1"	"Group2"	50568.6939864221
"Cell341"	"Cell341"	"Batch1"	"Group2"	48032.6864335115
"Cell342"	"Cell342"	"Batch1"	"Group2"	50010.185386691
"Cell343"	"Cell343"	"Batch1"	"Group1"	46526.7742426078
"Cell344"	"Cell344"	"Batch1"	"Group2"	35412.856795648
"Cell345"	"Cell345"	"Batch1"	"Group2"	68446.8732152857
"Cell346"	"Cell346"	"Batch1"	"Group2"	68323.4484286009
"Cell347"	"Cell347"	"Batch1"	"Group1"	56947.2063319689
"Cell348"	"Cell348"	"Batch1"	"Group2"	51804.9268474225
"Cell349"	"Cell349"	"Batch1"	"Group1"	50897.2245493431
"Cell350"	"Cell350"	"Batch1"	"Group1"	64844.4670692674
"Cell351"	"Cell351"	"Batch1"	"Group2"	62649.6087176184
"Cell352"	"Cell352"	"Batch1"	"Group2"	65142.2563010997
"Cell353"	"Cell353"	"Batch1"	"Group2"	59932.1032977925
"Cell354"	"Cell354"	"Batch1"	"Group2"	67764.7063456972
"Cell355"	"Cell355"	"Batch1"	"Group1"	65266.0184731206
"Cell356"	"Cell356"	"Batch1"	"Group2"	66947.3972299629
"Cell357"	"Cell357"	"Batch1"	"Group2"	66117.7324005518
"Cell358"	"Cell358"	"Batch1"	"Group1"	83481.2344277214
"Cell359"	"Cell359"	"Batch1"	"Group2"	48484.1916076289
"Cell360"	"Cell360"	"Batch1"	"Group2"	80956.3125854743
"Cell361"	"Cell361"	"Batch1"	"Group2"	56002.8728149807
"Cell362"	"Cell362"	"Batch1"	"Group2"	59101.0429966727
"Cell363"	"Cell363"	"Batch1"	"Group2"	60852.9944612255
"Cell364"	"Cell364"	"Batch1"	"Group1"	54740.3863725721
"Cell365"	"Cell365"	"Batch1"	"Group2"	35926.7926662857
"Cell366"	"Cell366"	"Batch1"	"Group2"	56241.6853407422
"Cell367"	"Cell367"	"Batch1"	"Group2"	60371.7542942324
"Cell368"	"Cell368"	"Batch1"	"Group1"	42296.2787238262
"Cell369"	"Cell369"	"Batch1"	"Group2"	66835.3848058995
"Cell370"	"Cell370"	"Batch1"	"Group2"	53132.5631612167
"Cell371"	"Cell371"	"Batch1"	"Group2"	79981.3179858033
"Cell372"	"Cell372"	"Batch1"	"Group2"	63131.4047522671
"Cell373"	"Cell373"	"Batch1"	"Group1"	51135.9697948716
"Cell374"	"Cell374"	"Batch1"	"Group2"	61916.7762730345
"Cell375"	"Cell375"	"Batch1"	"Group1"	63039.4891957888
"Cell376"	"Cell376"	"Batch1"	"Group1"	71855.2870599845
"Cell377"	"Cell377"	"Batch1"	"Group2"	58024.784863798
"Cell378"	"Cell378"	"Batch1"	"Group2"	39867.823872465
"Cell379"	"Cell379"	"Batch1"	"Group2"	46169.1375470651
"Cell380"	"Cell380"	"Batch1"	"Group1"	50440.5083336199
"Cell381"	"Cell381"	"Batch1"	"Group2"	65202.4979245593
"Cell382"	"Cell382"	"Batch1"	"Group2"	56558.611288769
"Cell383"	"Cell383"	"Batch1"	"Group2"	52951.2147174574
"Cell384"	"Cell384"	"Batch1"	"Group2"	50565.3497710575
"Cell385"	"Cell385"	"Batch1"	"Group2"	61743.1916322444
"Cell386"	"Cell386"	"Batch1"	"Group1"	50499.2389495707
"Cell387"	"Cell387"	"Batch1"	"Group2"	55293.7845132486
"Cell388"	"Cell388"	"Batch1"	"Group1"	49612.8203813186
"Cell389"	"Cell389"	"Batch1"	"Group2"	45358.3359224698
"Cell390"	"Cell390"	"Batch1"	"Group2"	72477.8964475315
"Cell391"	"Cell391"	"Batch1"	"Group1"	46004.7948539061
"Cell392"	"Cell392"	"Batch1"	"Group2"	60755.0708943954
"Cell393"	"Cell393"	"Batch1"	"Group2"	53442.5663613511
"Cell394"	"Cell394"	"Batch1"	"Group2"	48451.0779723752
"Cell395"	"Cell395"	"Batch1"	"Group1"	63061.3100588978
"Cell396"	"Cell396"	"Batch1"	"Group2"	64513.3140526884
"Cell397"	"Cell397"	"Batch1"	"Group1"	77105.7668566083
"Cell398"	"Cell398"	"Batch1"	"Group1"	63898.1059584598
"Cell399"	"Cell399"	"Batch1"	"Group2"	58238.7684250074
